"Ht_temporal_entropy" "Hf_spectral_entropy" "number_of_freq_peaks" "number_of_freq_peaks_cqv" "peak_freq" "peak_freq_cqv" "ACTfract" "spectral_bandwidth_90" "ugof_isochronous" "npvi_ioi" "npvi_ioi_cqv" "num_syllables_per_unit_time" "duration_song" "syllable_duration_median" "ioi_duration_median" "syllable_duration_median_cqv"
"Phylloscopus_trochilus" 0.8095 0.6097 21.3333 5.8824 3086.6927 0.4619 0.2963 1937.9883 0.4896 9.0538 14.7397 8.7778 3 0.0513 0.1272 0.7134
"Pica_pica" 0.8642 0.5351 29.6 11.4754 2614.7711 11.4969 0.1913 1412.5781 0.3257 12.6466 100 6 0.6 0.0546 0.0981 7.4904
"Picus_canus" 0.7949 0.4354 27.1667 8.7719 1639.6348 22.4033 0.2261 1220.2148 0.5374 15.1108 73.4143 9.0139 2.5 0.0529 0.1525 28.4191
"Picus_viridis" 0.8376 0.3404 23.25 4.8128 2092.6709 0.3945 0.2701 301.4648 0.5042 1.8995 27.0811 6.6875 2.75 0.0566 0.1602 2.2579
"Parus_montanus" 0.768 0.5724 25.7143 9.2683 4776.7285 15.9025 0.2908 2187.1582 0.508 17.4708 60.0098 6.1786 1.1429 0.0553 0.1446 9.5376
"Parus_palustris" 0.7465 0.5845 26.5862 13.2075 4390.3553 8.816 0.3126 1883.0415 0.4895 14.6717 50.6506 6.8707 1.4828 0.0535 0.1448 6.8529
"Prunella_modularis" 0.8404 0.6218 14.5 5.0847 5268.5684 1.1375 0.2857 1923.6328 0.505 14.7228 6.0252 8.6667 3.1667 0.0519 0.1144 1.0565
"Ptyonoprogne_rupestris" 0.7916 0.5658 33.1304 8.8235 3444.1591 11.1111 0.1726 1664.6102 0.1217 5.0529 100 1.9565 0.3043 0.0602 0.1525 11.9431
"Pyrrhocorax_pyrrhocorax" 0.8855 0.6011 29.8571 10.9244 2329.5195 9.1375 0.2232 2036.4258 0.4312 24.7236 55.4132 3.3265 1 0.0625 0.135 7.0709
"Pyrrhula_pyrrhula" 0.7754 0.517 17 0 2046.0547 0 0.2599 1119.7266 0.5102 22.509 0 6.3077 26 0.0515 0.1437 0
"Regulus_ignicapillus" 0.8585 0.4492 16 25.3968 7526.7881 1.7172 0.2388 667.5293 0.4907 6.6804 19.5204 8.375 2.25 0.0546 0.1161 1.1699
"Regulus_regulus" 0.8045 0.6118 23 10.1124 6150.2679 11.8072 0.2747 2633.2031 0.5039 18.7238 7.2461 8.3095 3 0.0495 0.1172 1.4719
"Riparia_riparia" 0.85 0.6605 17 20.5882 4418.0846 5.2825 0.2743 2167.6758 0.48 20.3111 14.1823 7 5.6667 0.0568 0.135 8.0899
"Saxicola_rubetra" 0.7499 0.6097 29.9286 11.5702 3525.8647 9.687 0.2698 2067.1875 0.501 17.7656 52.7964 6.6786 1.4286 0.0524 0.1297 8.5735
"Saxicola_torquata" 0.8517 0.6055 28 11.1111 4405.0625 5.2729 0.2704 1765.7227 0.4938 17.7486 25.12 9.8333 1 0.0525 0.1321 2.7074
"Serinus_serinus" 0.8867 0.7094 37.3333 2.6667 6807.4258 2.9657 0.2547 3402.2461 0.4181 17.4643 4.2839 9.9167 3 0.045 0.0953 0
"Sitta_europaea" 0.8368 0.4365 18.8182 15.3846 3191.2173 2.2509 0.2681 775.1953 0.4759 13.2582 85.8081 7.697 2.6364 0.0486 0.1425 15.4736
"Carduelis_spinus" 0.8419 0.6022 31 8.4746 4173.7617 4.3254 0.2835 1894.9219 0.516 17.6662 13.7691 8.1943 5.2 0.0505 0.1225 2.8645
"Streptopelia_decaocto" 0.8403 0.2309 1 0 513.7305 0 0.3585 129.1992 0.5308 22.9677 0 6.9524 21 0.0508 0.1495 0
"Streptopelia_turtur" 0.8343 0.224 1.9 0 544.777 1.1961 0.3019 129.1992 0.4778 21.3939 8.44 6.5075 2.7 0.0512 0.1153 7.3907
"Sturnus_vulgaris" 0.8134 0.6325 28 8.9286 3778.8501 29.263 0.2679 2987.2425 0.4958 25.7536 16.3542 6.771 5.5455 0.0533 0.1311 11.8638
"Sylvia_atricapilla" 0.8148 0.5755 28 2.7027 3262.9583 1.2758 0.3279 1449.9023 0.4683 23.5393 8.2171 6.4873 6 0.0522 0.1413 1.3876
"Sylvia_borin" 0.8266 0.6104 25.5 6 3128.2646 2.3108 0.3085 2056.4209 0.5327 16.7981 17.43 7.5812 5.5 0.0533 0.1288 4.4425
"Apus_melba" 0.8123 0.5535 29.25 2.9046 3933.5098 5.3616 0.2785 1507.3242 0.4631 8.2016 37.1642 10.05 7.75 0.0441 0.1047 14.1142
"Troglodytes_troglodytes" 0.8016 0.6109 16 4.7619 4907.5205 1.6122 0.3248 1808.7891 0.4813 13.3708 4.1285 8.5417 4.5 0.0444 0.105 6.0446
"Turdus_merula" 0.85 0.549 28 2.6549 2129.2207 1.7906 0.2809 1658.0566 0.4686 25.1986 15.7094 7 3.25 0.0562 0.1424 4.1775
"Turdus_philomelos" 0.7777 0.4895 24.2308 10.6383 3025.3717 8.7837 0.2821 1136.2906 0.445 23.5669 44.1575 5.9423 1.8462 0.0651 0.199 15.3826
"Turdus_pilaris" 0.7603 0.6945 29 8.7719 3929.7766 5.1066 0.3073 2988.8086 0.5359 18.0095 9.1004 6.7467 3.2 0.0536 0.138 1.3734
"Turdus_torquatus" 0.7286 0.6152 32.8125 5.1793 3326.376 19.4437 0.2752 2244.8364 0.4316 20.1632 40.8834 6.5312 1 0.0574 0.1436 15.4988
"Turdus_viscivorus" 0.8497 0.4366 25.6 8 2466.9453 5.0707 0.2485 568.4766 0.4355 27.8939 21.5035 6.9 1.2 0.0607 0.1765 18.9882
"Upupa_epops" 0.7655 0.1374 2.2857 11.1111 577.673 1.2207 0.3211 73.8281 0.3685 3.6842 12.209 2.8571 0.8571 0.0647 0.2179 1.7012
