"","path","file","name","Nom scientifique / Autorité","latin.name"
"158","3 faucon cre´cerelle - glare´ole a` collier/07 faucon e´merillon.mp3","07 faucon e´merillon.mp3","faucon e´merillon","Falco columbarius Linnaeus, 1758","Falco columbarius"
"159","3 faucon cre´cerelle - glare´ole a` collier/08 faucon gerfaut.mp3","08 faucon gerfaut.mp3","faucon gerfaut","Falco rusticolus Linnaeus, 1758","Falco rusticolus"
"160","3 faucon cre´cerelle - glare´ole a` collier/04 faucon hobereau.mp3","04 faucon hobereau.mp3","faucon hobereau","Falco subbuteo Linnaeus, 1758","Falco subbuteo"
"161","3 faucon cre´cerelle - glare´ole a` collier/03 faucon kobez.mp3","03 faucon kobez.mp3","faucon kobez","Falco vespertinus Linnaeus, 1766","Falco vespertinus"
"162","3 faucon cre´cerelle - glare´ole a` collier/10 faucon lanier.mp3","10 faucon lanier.mp3","faucon lanier","Falco biarmicus Temminck, 1825","Falco biarmicus"
"163","3 faucon cre´cerelle - glare´ole a` collier/06 faucon pe´lerin.mp3","06 faucon pe´lerin.mp3","faucon pe´lerin","Falco peregrinus Tunstall, 1771","Falco peregrinus"
"164","3 faucon cre´cerelle - glare´ole a` collier/09 faucon sacre.mp3","09 faucon sacre.mp3","faucon sacre","Falco cherrug Gray, JE, 1834","Falco cherrug"
"165","8 fauvette orphe´e - gobemouche a` demi-collier/08 fauvette a` lunettes.mp3","08 fauvette a` lunettes.mp3","fauvette a` lunettes","Sylvia conspicillata Temminck, 1820","Sylvia conspicillata"
"166","7 bergeronnette grise - fauvette a` te^te noire/42 fauvette a` te^te noire.mp3","42 fauvette a` te^te noire.mp3","fauvette a` te^te noire","Sylvia atricapilla (Linnaeus, 1758)","Sylvia atricapilla"
"167","8 fauvette orphe´e - gobemouche a` demi-collier/03 fauvette babillarde.mp3","03 fauvette babillarde.mp3","fauvette babillarde","Sylvia curruca (Linnaeus, 1758)","Sylvia curruca"
"168","8 fauvette orphe´e - gobemouche a` demi-collier/05 fauvette de Chypre.mp3","05 fauvette de Chypre.mp3","fauvette de chypre",NA,"curruca melanothorax"
"169","8 fauvette orphe´e - gobemouche a` demi-collier/13 fauvette de l'Atlas.mp3","13 fauvette de l'Atlas.mp3","fauvette de l'atlas","Sylvia deserticola Tristram, 1859","Sylvia deserticola"
"170","8 fauvette orphe´e - gobemouche a` demi-collier/06 fauvette de Ru¨ppel.mp3","06 fauvette de Ru¨ppel.mp3","fauvette de ru¨ppel",NA,"curruca ruppeli"
"171","7 bergeronnette grise - fauvette a` te^te noire/40 fauvette des jardin.mp3","40 fauvette des jardin.mp3","fauvette des jardin",NA,"sylvia borin"
"172","7 bergeronnette grise - fauvette a` te^te noire/41 fauvette e´pervie`re.mp3","41 fauvette e´pervie`re.mp3","fauvette e´pervie`re","Sylvia nisoria (Bechstein, 1792)","Sylvia nisoria"
"173","8 fauvette orphe´e - gobemouche a` demi-collier/07 fauvette grisette.mp3","07 fauvette grisette.mp3","fauvette grisette","Sylvia communis Latham, 1787","Sylvia communis"
"174","8 fauvette orphe´e - gobemouche a` demi-collier/04 fauvette me´lanoce´phale.mp3","04 fauvette me´lanoce´phale.mp3","fauvette me´lanoce´phale","Sylvia melanocephala (Gmelin, JF, 1789)","Sylvia melanocephala"
"175","8 fauvette orphe´e - gobemouche a` demi-collier/10 fauvette naine.mp3","10 fauvette naine.mp3","fauvette naine","Sylvia nana (Hemprich & Ehrenberg, 1833)","Sylvia nana"
"176","8 fauvette orphe´e - gobemouche a` demi-collier/01 fauvette orphe´e occidentale.mp3","01 fauvette orphe´e occidentale.mp3","fauvette orphe´e occidentale",NA,"curruca hortensis"
"177","8 fauvette orphe´e - gobemouche a` demi-collier/02 fauvette orphe´e orientale.mp3","02 fauvette orphe´e orientale.mp3","fauvette orphe´e orientale",NA,"curruca crassirostris"
"178","8 fauvette orphe´e - gobemouche a` demi-collier/09 fauvette passerinette.mp3","09 fauvette passerinette.mp3","fauvette passerinette","Sylvia cantillans (Pallas, 1764)","Sylvia cantillans"
"179","8 fauvette orphe´e - gobemouche a` demi-collier/11 fauvette pitchou.mp3","11 fauvette pitchou.mp3","fauvette pitchou","Sylvia undata (Boddaert, 1783)","Sylvia undata"
"180","8 fauvette orphe´e - gobemouche a` demi-collier/12 fauvette sarde.mp3","12 fauvette sarde.mp3","fauvette sarde","Sylvia sarda Temminck, 1820","Sylvia sarda"
"181","1 plongeon catmarin - tadorne casarca/36 flamant rose.mp3","36 flamant rose.mp3","flamant rose","Phoenicopterus roseus Pallas, 1811","Phoenicopterus roseus"
"182","1 plongeon catmarin - tadorne casarca/16 fou de Bassan.mp3","16 fou de Bassan.mp3","fou de bassan","Morus bassanus (Linnaeus, 1758)","Morus bassanus"
"183","3 faucon cre´cerelle - glare´ole a` collier/37 foulque caroncule´e.mp3","37 foulque caroncule´e.mp3","foulque caroncule´e","Fulica cristata Gmelin, JF, 1789","Fulica cristata"
"184","3 faucon cre´cerelle - glare´ole a` collier/36 foulque macroule.mp3","36 foulque macroule.mp3","foulque macroule","Fulica atra Linnaeus, 1758","Fulica atra"
"185","3 faucon cre´cerelle - glare´ole a` collier/17 francolin a` double-e´peron.mp3","17 francolin a` double-e´peron.mp3","francolin a` double-e´peron",NA,"pternistis bicalcaratus"
"186","3 faucon cre´cerelle - glare´ole a` collier/16 francolin noir.mp3","16 francolin noir.mp3","francolin noir",NA,"francolinus francolinus"
"187","2 canard mandarin - autour sombre/11 fuligule milouin.mp3","11 fuligule milouin.mp3","fuligule milouin","Aythya ferina (Linnaeus, 1758)","Aythya ferina"
"188","2 canard mandarin - autour sombre/14 fuligule milouinan.mp3","14 fuligule milouinan.mp3","fuligule milouinan","Aythya marila (Linnaeus, 1761)","Aythya marila"
"189","2 canard mandarin - autour sombre/15 fuligule morillon.mp3","15 fuligule morillon.mp3","fuligule morillon","Aythya fuligula (Linnaeus, 1758)","Aythya fuligula"
"190","2 canard mandarin - autour sombre/13 fuligule nyroca.mp3","13 fuligule nyroca.mp3","fuligule nyroca","Aythya nyroca (Güldenstädt, 1770)","Aythya nyroca"
"191","1 plongeon catmarin - tadorne casarca/10 fulmar bore´al.mp3","10 fulmar bore´al.mp3","fulmar bore´al","Fulmarus glacialis (Linnaeus, 1761)","Fulmarus glacialis"
"192","3 faucon cre´cerelle - glare´ole a` collier/35 gallinule poule-d'eau.mp3","35 gallinule poule-d'eau.mp3","gallinule poule-d'eau","Gallinula chloropus (Linnaeus, 1758)","Gallinula chloropus"
"193","5 sterne naine - martinet des maisons/18 ganga cata.mp3","18 ganga cata.mp3","ganga cata","Pterocles alchata (Linnaeus, 1766)","Pterocles alchata"
"194","5 sterne naine - martinet des maisons/20 ganga couronne´.mp3","20 ganga couronne´.mp3","ganga couronne´",NA,"pterocles coronatus"
"195","5 sterne naine - martinet des maisons/21 ganga de Lichtenstein.mp3","21 ganga de Lichtenstein.mp3","ganga de lichtenstein",NA,"pterocles lichtensteinii"
"196","5 sterne naine - martinet des maisons/19 ganga tachete´.mp3","19 ganga tachete´.mp3","ganga tachete´",NA,"pterocles senegallus"
"197","5 sterne naine - martinet des maisons/17 ganga unibande.mp3","17 ganga unibande.mp3","ganga unibande",NA,"pterocles orientalis"
"198","2 canard mandarin - autour sombre/23 garrot a` oeil d'or.mp3","23 garrot a` oeil d'or.mp3","garrot a` oeil d'or","Bucephala clangula (Linnaeus, 1758)","Bucephala clangula"
"199","2 canard mandarin - autour sombre/24 garrot d'Islande.mp3","24 garrot d'Islande.mp3","garrot d'islande","Bucephala islandica (Gmelin, JF, 1789)","Bucephala islandica"
"200","9 me´sange charbonnie`re - e´tourneau roselin/31 geai des che^nes.mp3","31 geai des che^nes.mp3","geai des che^nes","Garrulus glandarius (Linnaeus, 1758)","Garrulus glandarius"
"201","3 faucon cre´cerelle - glare´ole a` collier/15 ge´linotte des bois.mp3","15 ge´linotte des bois.mp3","ge´linotte des bois","Tetrastes bonasia (Linnaeus, 1758)","Tetrastes bonasia"
"202","3 faucon cre´cerelle - glare´ole a` collier/47 glare´ole a` collier.mp3","47 glare´ole a` collier.mp3","glare´ole a` collier","Glareola pratincola (Linnaeus, 1766)","Glareola pratincola"
"203","8 fauvette orphe´e - gobemouche a` demi-collier/44 gobemouche a` collier.mp3","44 gobemouche a` collier.mp3","gobemouche a` collier","Ficedula albicollis (Temminck, 1815)","Ficedula albicollis"
"204","8 fauvette orphe´e - gobemouche a` demi-collier/45 gobemouche a` demi-collier.mp3","45 gobemouche a` demi-collier.mp3","gobemouche a` demi-collier","Ficedula semitorquata (Homeyer, 1885)","Ficedula semitorquata"
"205","8 fauvette orphe´e - gobemouche a` demi-collier/41 gobemouche gris.mp3","41 gobemouche gris.mp3","gobemouche gris","Muscicapa striata (Pallas, 1764)","Muscicapa striata"
"206","8 fauvette orphe´e - gobemouche a` demi-collier/42 gobemouche nain.mp3","42 gobemouche nain.mp3","gobemouche nain","Ficedula parva (Bechstein, 1792)","Ficedula parva"
"207","8 fauvette orphe´e - gobemouche a` demi-collier/43 gobemouche noir.mp3","43 gobemouche noir.mp3","gobemouche noir","Ficedula hypoleuca (Pallas, 1764)","Ficedula hypoleuca"
"208","4 petit gravelot - goe´land a` ailes blanches/53 goe´land a` ailes blanches.mp3","53 goe´land a` ailes blanches.mp3","goe´land a` ailes blanches","Larus glaucoides Meyer, B, 1822","Larus glaucoides"
"209","Goeland a` bec cercle´.mp3","Goeland a` bec cercle´.mp3","goeland a` bec cercle´","Larus delawarensis Ord, 1815","Larus delawarensis"
"210","Goeland a` bec cercle´ 2.mp3","Goeland a` bec cercle´ 2.mp3","goeland a` bec cercle´ ",NA,"larus delawarensis"
"211","4 petit gravelot - goe´land a` ailes blanches/45 goe´land argente´.mp3","45 goe´land argente´.mp3","goe´land argente´","Larus argentatus Pontoppidan, 1763","Larus argentatus"
"212","4 petit gravelot - goe´land a` ailes blanches/52 goe´land bourgmestre.mp3","52 goe´land bourgmestre.mp3","goe´land bourgmestre","Larus hyperboreus Gunnerus, 1767","Larus hyperboreus"
"213","4 petit gravelot - goe´land a` ailes blanches/48 goe´land brun.mp3","48 goe´land brun.mp3","goe´land brun","Larus fuscus Linnaeus, 1758","Larus fuscus"
"214","4 petit gravelot - goe´land a` ailes blanches/43 goe´land cendre´.mp3","43 goe´land cendre´.mp3","goe´land cendre´","Larus canus Linnaeus, 1758","Larus canus"
"215","4 petit gravelot - goe´land a` ailes blanches/47 goe´land d'Audoin.mp3","47 goe´land d'Audoin.mp3","goe´land d'audoin",NA,"ichthyaetus audouinii"
"216","4 petit gravelot - goe´land a` ailes blanches/46 goe´land leucophe´e.mp3","46 goe´land leucophe´e.mp3","goe´land leucophe´e","Larus michahellis Naumann, JF, 1840","Larus michahellis"
"217","4 petit gravelot - goe´land a` ailes blanches/49 goe´land marin.mp3","49 goe´land marin.mp3","goe´land marin","Larus marinus Linnaeus, 1758","Larus marinus"
"218","4 petit gravelot - goe´land a` ailes blanches/42 goe´land railleur.mp3","42 goe´land railleur.mp3","goe´land railleur","Chroicocephalus genei (Brème, 1839)","Chroicocephalus genei"
