duration_song,centroid_f,Ht_temporal_entropy,LFC_spectral_cover,MFC_spectral_cover,HFC_spectral_cover,Hf_spectral_entropy,number_of_freq_peaks,Hf_Havrda_spectral_entropy,Hf_Renyi_spectral_entropy,Hf_pairedShannon_spectral_entropy,Hf_gamma_spectral_entropy,Hf_GiniSimpson_spectral_entropy,peak_freq,peak_freq_amp_by_mean_amp,peak_f_roi,centroid_f_roi,num_syllables_per_unit_time,syllable_duration_mean,syllable_duration_std,mean_gap_duration,gap_duration_std,sound_per_silence_ratio,sound_per_vocalization_ratio,drumming,birdlife_sci_name,short_or_continuous_song
1,1714.0429,0.8997,0.2673,0.2369,0.2828,0.5325,26.8,0.3318,2.7061,4.2942,1266.4503,0.9461,1398.2852,2.1161,1380.6586,1714.0429,6.3,0.0674,0.0371,0.0561,0.0298,0.5241,0.3847,no,Corvus frugilegus,short
1.2727,2740.5895,0.8574,0.2631,0.233,0.2437,0.5823,34.3636,0.3322,2.9707,4.6097,2493.9142,0.9558,2759.0018,0.7281,2756.6321,2779.7408,5.1515,0.0667,0.0307,0.0651,0.0212,0.3519,0.26,no,Clamator glandarius,short
1,2251.7578,0.8855,0.2561,0.3056,0.301,0.6011,29.8571,0.3328,3.227,4.7326,2081.6582,0.9666,2329.5195,1.0923,2319.3577,2270.2148,3.3265,0.0626,0.035,0.0678,0.0277,0.229,0.1976,no,Pyrrhocorax pyrrhocorax,""
17,1937.9883,0.9102,0.2737,0.2539,0.2705,0.5067,11,0.3318,2.686,4.1318,764.906,0.9431,2115.1875,1.9238,2117.1875,1937.9883,9.8235,0.0511,0.0238,0.0516,0.0224,0.9959,0.5019,no,Caprimulgus europaeus,""
5.5455,3782.0135,0.8134,0.3581,0.3105,0.3414,0.6325,28,0.3328,3.4991,4.93,4230.6458,0.9693,3778.8501,1.3801,3763.3775,3817.2496,6.771,0.0556,0.0253,0.1063,0.0966,0.6202,0.3672,no,Sturnus vulgaris,short
1.6875,3593.3533,0.7884,0.3393,0.3293,0.3382,0.5218,31.5625,0.3297,2.6762,4.2171,2314.6133,0.9277,3449.9961,3.4679,3486.4292,3582.5867,5.6042,0.0535,0.0152,0.0849,0.035,0.4214,0.3011,no,Sturnus unicolor,""
2.6,3901.8164,0.8016,0.3599,0.3567,0.3549,0.6128,23.6,0.3329,3.4841,4.8084,2211.5372,0.9715,4001.8961,1.2564,3878.9102,3901.8164,9.4667,0.0429,0.0126,0.0553,0.0257,0.7971,0.4028,no,Curruca curruca,medium
5.5,3176.1474,0.8266,0.3814,0.3472,0.3739,0.6104,25.5,0.3328,3.294,4.7919,2304.68,0.9683,3128.2647,1.9459,3124.4981,3197.6807,7.5812,0.0547,0.0172,0.078,0.0326,0.7213,0.414,no,Sylvia borin,long
2,2644.2774,0.8524,0.3565,0.2984,0.3407,0.494,21,0.3316,2.6481,4.0501,821.2148,0.9386,2577.518,3.2551,2580.718,2670.1172,6.6,0.0587,0.0184,0.0706,0.0249,0.7689,0.3844,no,Curruca hortensis,short
3.2,4160.2148,0.8135,0.3895,0.3797,0.3626,0.6567,27,0.3331,3.752,5.0862,2803.3658,0.9795,3865.0969,0.7765,3864.2969,4151.6016,9.0667,0.046,0.0145,0.0625,0.0308,0.7671,0.4178,no,Curruca cantillans,long
